link,title
https://www.youtube.com/watch?v=YKsHlxnWylc,Pigeonhole Principle (1 of 2: Establishing a pattern)
https://www.youtube.com/watch?v=CTF3MTWvNs0,News Report: Maths Workshops at Dapto High School
https://www.youtube.com/watch?v=f5dDAGvdhO0,Vector Arithmetic with Ratio Division (3 of 3: Dividing externally)
https://www.youtube.com/watch?v=X3YMQNz-ec0,Vector Arithmetic with Ratio Division (2 of 3: Worked example)
https://www.youtube.com/watch?v=Z0vhq_iSi7A,Vector Arithmetic with Ratio Division (1 of 3: Thinking geometrically)
https://www.youtube.com/watch?v=KMs3ybixmYM,Optimisation Problem with Interacting Rates (3 of 3: The most efficient speed)
https://www.youtube.com/watch?v=5XBQQOh73RU,Optimisation Problem with Interacting Rates (2 of 3: Creating the mathematical model)
https://www.youtube.com/watch?v=4MrOYrrANBQ,Optimisation Problem with Interacting Rates (1 of 3: Assembling the information)
https://www.youtube.com/watch?v=nyIhcBu3kQw,Mystery Theorem (7 of 7: Folding paper - completing the solution)
https://www.youtube.com/watch?v=3vlQyhKDQS8,Mystery Theorem (6 of 7: Folding paper - similar triangles)
https://www.youtube.com/watch?v=Dj5wYFyqWmk,Mystery Theorem (5 of 7: Trigonometric alternative)
https://www.youtube.com/watch?v=3Qq-vtVvytM,Mystery Theorem (4 of 7: Diagonal of a square)
https://www.youtube.com/watch?v=iWVxdWNZh3M,Mystery Theorem (3 of 7: Semicircle with no radius)
https://www.youtube.com/watch?v=vcM8OYJbSy0,Interview with The Project (Mar 2023)
https://www.youtube.com/watch?v=6YEbaOz9h70,Mystery Theorem (2 of 7: Point within a rectangle)
https://www.youtube.com/watch?v=Irv7ioa-1II,6÷2(1+2)=???
https://www.youtube.com/watch?v=ATNgL8UsK8o,Mystery Theorem (1 of 7: Quadrant & semicircle)
https://www.youtube.com/watch?v=k4fOWMkeEcQ,Integral of a Rational Function (3 of 3: By substitution)
https://www.youtube.com/watch?v=elX7Xbo9O5k,Integral of a Rational Function (2 of 3: Performing the integration)
https://www.youtube.com/watch?v=aVhygqgNOTc,Integral of a Rational Function (1 of 3: Algebraic pre-work)
https://www.youtube.com/watch?v=i4g1krYYIFE,Introduction to Functions
https://www.youtube.com/watch?v=KZlyeGy89Qk,Angle in a Semicircle (6 of 6: Completing the proof)
https://www.youtube.com/watch?v=33JeMTXtPG4,Angle in a Semicircle (5 of 6: An algebraic aside)
https://www.youtube.com/watch?v=BTb-JV051LQ,Angle in a Semicircle (4 of 6: Coordinate geometry proof)
https://www.youtube.com/watch?v=lGzD904Yn2M,Angle in a Semicircle (3 of 6: Simplest converse proof)
https://www.youtube.com/watch?v=7JRRjHkrzdQ,Angle in a Semicircle (2 of 6: Why are converse statements tricky?)
https://www.youtube.com/watch?v=NQ7JlZN5-nQ,Angle in a Semicircle (1 of 6: Standard proof)
https://www.youtube.com/watch?v=nsz1gH67nFM,Composite Figures (3 of 3: Subtractions & overlapping areas)
https://www.youtube.com/watch?v=ltaQiGbgZT4,Composite Figures (2 of 3: A shape with ambiguity)
https://www.youtube.com/watch?v=xsl-jlml6AM,Composite Figures (1 of 3: Polygons)
https://www.youtube.com/watch?v=De-G719UioI,Countdown Card Trick (3 of 3: Transforming the trick)
https://www.youtube.com/watch?v=lmS79kRA-Gk,Countdown Card Trick (2 of 3: Understanding the trick)
https://www.youtube.com/watch?v=idh18SRAWuw,Countdown Card Trick (1 of 3: Performing the trick)
https://www.youtube.com/watch?v=SujXxObaT5g,Recursive Formulas by Induction (4 of 4: Example HSC question)
https://www.youtube.com/watch?v=b0y-5z3YL-A,Recursive Formulas by Induction (3 of 4: Hypothesising an explicit formula)
https://www.youtube.com/watch?v=BYpcqC54BbY,Recursive Formulas by Induction (2 of 4: Proving an explicit formula)
https://www.youtube.com/watch?v=S2PHu00eoDc,Recursive Formulas by Induction (1 of 4: What is a recursive formula?)
https://www.youtube.com/watch?v=RwbbDtiy9mI,Evaluating an Irregular Area (3 of 3: Counting)
https://www.youtube.com/watch?v=z8olum3TzW8,Evaluating an Irregular Area (2 of 3: Coordinate geometry)
https://www.youtube.com/watch?v=y-MaPZj8No0,Evaluating an Irregular Area (1 of 3: Similar triangles)
https://www.youtube.com/watch?v=7F_zl75gKAA,Lost for Words
https://www.youtube.com/watch?v=CvtHAFlwwcs,"Eddie reads ""Stellarphant""! (Play School Story Time)"
https://www.youtube.com/watch?v=G0NtomzpVRM,Occasional Address at University of Sydney (Oct 2022)
https://www.youtube.com/watch?v=seZXmnnkd9w,Polyomino Permutations (Ultimate Classroom lesson)
https://www.youtube.com/watch?v=uaOktbt98XM,Glider Aerodynamics (Ultimate Classroom lesson)
https://www.youtube.com/watch?v=V_lAvQ2u5tA,Encryption (Ultimate Classroom lesson)
https://www.youtube.com/watch?v=RAZirviUb0c,Network Theory (Ultimate Classroom lesson)
https://www.youtube.com/watch?v=oMfZ0PR2VX4,Impact Physics (Ultimate Classroom lesson)
https://www.youtube.com/watch?v=3fl9B4k9p4A,Talking Ultimate Classroom on The Project
https://www.youtube.com/watch?v=FrD2BqeENQ8,The Geometry of SONAR (Ultimate Classroom lesson)
https://www.youtube.com/watch?v=hbkpW3ZsYHE,Electromagnetic Radiation (Ultimate Classroom lesson)
https://www.youtube.com/watch?v=2L6qc_9DgcY,Talking Ultimate Classroom on Studio 10
https://www.youtube.com/watch?v=1s0uJsR7hSI,Building Bridges (Ultimate Classroom lesson)
https://www.youtube.com/watch?v=kcOoJTX-heA,Flying Drones & Calculating Angles (Ultimate Classroom lesson)
https://www.youtube.com/watch?v=XwZ9C_0cCfk,Ultimate Classroom - new series starting this Sunday!
https://www.youtube.com/watch?v=_gHuX0ZImug,Black & Red Cards (2 of 2: Understanding the trick)
https://www.youtube.com/watch?v=T4LpiEh0NVk,Black & Red Cards (1 of 2: Performing the trick)
https://www.youtube.com/watch?v=C-XchK2gT6o,How hard is it to teach kids? (and a bunch of other questions)
https://www.youtube.com/watch?v=87B-1IfFK0w,Significant Figures
https://www.youtube.com/watch?v=4qS05COL9ow,"Whodunnit, Eddie Woo? New adventure mystery books!"
https://www.youtube.com/watch?v=5KFnhwwTYmw,Supporting mathematics learning at Woolgoolga HS (ABC 7.30)
https://www.youtube.com/watch?v=Y4s4k0lVOCs,Pearson's Correlation Coefficient (3 of 3: Least squares regression line)
https://www.youtube.com/watch?v=9DIZinRpd1g,Pearson's Correlation Coefficient (2 of 3: Standardising the result)
https://www.youtube.com/watch?v=-KdrlIRRbVA,Pearson's Correlation Coefficient (1 of 3: Unpacking the formula)
https://www.youtube.com/watch?v=7WoyJRItxCI,Estimating a Line of Best Fit (technology approach)
https://www.youtube.com/watch?v=fu8LHxufs7I,Interpreting Basic Bivariate Data
https://www.youtube.com/watch?v=g590Qj986Bw,Reviewing Quartiles & Interquartile Range
https://www.youtube.com/watch?v=cfDfyzE5G8I,Introduction to Bivariate Data (2 of 2: Correlation)
https://www.youtube.com/watch?v=AaTKKyIqFBc,Introduction to Bivariate Data (1 of 2: Dependent & independent variables)
https://www.youtube.com/watch?v=c-QoIaidr4Q,Characterising a Dataset (3 of 3: Which way is data skewed?)
https://www.youtube.com/watch?v=oVxsLJFGY8M,Characterising a Dataset (2 of 3: What is modality?)
https://www.youtube.com/watch?v=tuJdiQz0X9w,Characterising a Dataset (1 of 3: Discussing outliers)
https://www.youtube.com/watch?v=tuJdiQz0X9w,Characterising a Dataset (1 of 3: Discussing outliers)
https://www.youtube.com/watch?v=fi0A7vbfH8k,"Summary of Exponential, Logarithmic & Trigonometric Derivatives"
https://www.youtube.com/watch?v=7lMC8mEqAZE,Application of Trigonometric Derivatives (2 of 2: Evaluating an area)
https://www.youtube.com/watch?v=pKU9EhCtAw0,Application of Trigonometric Derivatives (1 of 2: Finding the tangent)
https://www.youtube.com/watch?v=hz6LksKMaTs,Differentiating Trigonometric Functions (5 of 5: Exploring the derivative of tan x)
https://www.youtube.com/watch?v=AXP_tTlEyUk,Differentiating Trigonometric Functions (4 of 5: Chain rule examples)
https://www.youtube.com/watch?v=JFTer8aZHNE,Differentiating Trigonometric Functions (3 of 5: Understanding cos x & tan x)
https://www.youtube.com/watch?v=eA32R_aCXLQ,Differentiating Trigonometric Functions (2 of 5: Taking gradient measurements)
https://www.youtube.com/watch?v=LfF3caEHIws,Differentiating Trigonometric Functions (1 of 5: Review questions)
https://www.youtube.com/watch?v=AfF24j7KIFM,Applications of Differentiating Log Functions (2 of 2: Calculating a normal)
https://www.youtube.com/watch?v=ADlQR9-77Fs,Applications of Differentiating Log Functions (1 of 2: Calculating a tangent)
https://www.youtube.com/watch?v=SNg4t5a7VOc,Differentiating Logarithmic Functions (4 of 4: Further examples)
https://www.youtube.com/watch?v=-N8e21WVhzM,Diffferentiating Logarithmic Functions (3 of 4: Basic examples)
https://www.youtube.com/watch?v=7SvjIZCLbPE,Differentiating Logarithmic Functions (2 of 4: Proving the formula)
https://www.youtube.com/watch?v=K9q0E5ysDnw,Differentiating Logarithmic Functions (1 of 4: Developing intuitions)
https://www.youtube.com/watch?v=SQSQAOorqx0,Exponential Functions with Other Bases (2 of 2: Deriving the formula)
https://www.youtube.com/watch?v=cWtLUiGULmg,Exponential Functions with Other Bases (1 of 2: Reframing problems)
https://www.youtube.com/watch?v=gisH9f1VkBw,Differentiating Exponential Functions continued (2 of 2: Further examples)
https://www.youtube.com/watch?v=YO24jWKfggQ,Differentiating Exponential Functions continued (1 of 2: Review questions)
https://www.youtube.com/watch?v=7MP51Z8oKpQ,Symmetrical Exponential Question (2 of 2: Comparing further values)
https://www.youtube.com/watch?v=fvQzadqTY6w,Symmetrical Exponential Question (1 of 2: Trivial solution)
https://www.youtube.com/watch?v=4F_uzwC1Ppk,Differentiating Exponential Functions (2 of 2: Step by step Chain Rule)
https://www.youtube.com/watch?v=KtQwEHZaiO4,Differentiating Exponential Functions (1 of 2: Reviewing simple derivatives)
https://www.youtube.com/watch?v=ad1OD4DJLYo,Unusual Induction Inequality Proof (3 of 3: By exhaustion)
https://www.youtube.com/watch?v=WkjzGht5lvg,Unusual Induction Inequality Proof (2 of 3: Working from the assumption)
https://www.youtube.com/watch?v=EOJPku2tQYs,Unusual Induction Inequality Proof (1 of 3: Base case)
https://www.youtube.com/watch?v=b2MA6LbacHs,Parametric equations on one Cartesian path (2 of 2: Domain & direction)
https://www.youtube.com/watch?v=8-WY3XR41_Y,Parametric equations on one Cartesian path (1 of 2: Introduction)
https://www.youtube.com/watch?v=U3FHcfFPw3I,Integration by substitution (two ways)
https://www.youtube.com/watch?v=QK6R5THO9S8,Evaluating velocity in simple harmonic motion
https://www.youtube.com/watch?v=kooKP_62WiE,Relating vectors with equal projections
https://www.youtube.com/watch?v=hm_G0_NkM8w,Two ways to integrate acceleration into velocity
https://www.youtube.com/watch?v=ykJj7H8h3so,Three ways to find a parallelogram's area
https://www.youtube.com/watch?v=PVhekYrR7r8,Inequality proof: average of squares vs. square of average
https://www.youtube.com/watch?v=dksfXHlo8fg,How to graph a region on the complex plane
https://www.youtube.com/watch?v=jBAUkzlvDwo,Integration: how to choose boundaries with trigonometric substitution
https://www.youtube.com/watch?v=uMmfH_f9ILU,Eddie Woo on Play School (4 of 4: Pattern matching)
https://www.youtube.com/watch?v=xjiCRG7p5go,Eddie Woo on Play School (3 of 4: Balancing & weight)
https://www.youtube.com/watch?v=UeatzxjFT6A,Eddie Woo on Play School (2 of 4: Algorithms)
https://www.youtube.com/watch?v=i75jHweTgo4,Eddie Woo on Play School (1 of 4: Classifying & sorting)
https://www.youtube.com/watch?v=3-KGadRhip8,The Basel Problem (9 of 9: Squeeze law)
https://www.youtube.com/watch?v=aL5F522C6Qk,The Basel Problem (8 of 9: Returning to trigonometric terms)
https://www.youtube.com/watch?v=svIbttG88t4,The Basel Problem (7 of 9: Manipulating the polynomial integral)
https://www.youtube.com/watch?v=YqEqGmw5Rf4,The Basel Problem (6 of 9: Equations → inequalities)
https://www.youtube.com/watch?v=MOHuuec8WpI,The Basel Problem (5 of 9: Telescoping sum)
https://www.youtube.com/watch?v=gH2xcc2fJUs,The Basel Problem (4 of 9: Introducing x² to the integrand)
https://www.youtube.com/watch?v=_myHjAF1V-g,The Basel Problem (3 of 9: Integration by *different* parts)
https://www.youtube.com/watch?v=kDU00B2YhcQ,The Basel Problem (2 of 9: Recurrence relation)
https://www.youtube.com/watch?v=1BkcHxLH4m0,The Basel Problem (1 of 9: Prologue)
https://www.youtube.com/watch?v=4RCIVruIxDY,Second Order Recurrence Formula (3 of 3: Proving k+2 case)
https://www.youtube.com/watch?v=TyfKW37wi9s,Second Order Recurrence Formula (2 of 3: An unusual test & assumption)
https://www.youtube.com/watch?v=yY1ph2SLu1o,Second Order Recurrence Formula (1 of 3: Prologue - considering the old course)
https://www.youtube.com/watch?v=Hw0XXwrwMLo,Integrating sec⁸θ
https://www.youtube.com/watch?v=oxdjAC8w_8s,Inequality proof from integration by parts
https://www.youtube.com/watch?v=2v7CkUNqzCI,Terminal Velocity Exam Question (4 of 4: Comparing Jac & Gil)
https://www.youtube.com/watch?v=Ly01ExTM-PI,Terminal Velocity Exam Question (3 of 4: Completing the integration)
https://www.youtube.com/watch?v=lZkNIOnkzDM,Terminal Velocity Exam Question (2 of 4: Eliminating m & k)
https://www.youtube.com/watch?v=50k03tYtesE,Terminal Velocity Exam Question (1 of 4: Introduction)
https://www.youtube.com/watch?v=cH5xgj0ryl4,Grid Painting Question (2 of 2: Generalising the result)
https://www.youtube.com/watch?v=MX0AmbhoVd0,Grid Painting Question (1 of 2: Establishing a base case)
https://www.youtube.com/watch?v=6HKmgv0nS1g,Centre of a Major Arc (5 of 5: Algebraic proof)
https://www.youtube.com/watch?v=De2lRrmvUA8,Centre of a Major Arc (4 of 5: Inscribed equilateral triangle)
https://www.youtube.com/watch?v=430uSFWdd4s,Centre of a Major Arc (3 of 5: Using trigonometric & vectors)
https://www.youtube.com/watch?v=4cAVxMoW44g,Centre of a Major Arc (2 of 5: Finding centre and radius)
https://www.youtube.com/watch?v=iPJMqewq4r4,Centre of a Major Arc (1 of 5: Evaluating internal angle)
https://www.youtube.com/watch?v=ZYXcPo4EIUs,Ratio Division - Vectors Exam Question (4 of 4: Similar triangles)
https://www.youtube.com/watch?v=4802Hed-0l0,Ratio Division - Vectors Exam Question (3 of 4: Vector equations)
https://www.youtube.com/watch?v=baHXM--fDeQ,Ratio Division - Vectors Exam Question (2 of 4: Thinking proportionally)
https://www.youtube.com/watch?v=1Ml4_ZOVWjM,Ratio Division - Vectors Exam Question (1 of 4: Relating the vectors)
https://www.youtube.com/watch?v=FNs5n5CdkE8,Eddie Woo interview on Today Extra
https://www.youtube.com/watch?v=8kI1WO0rDZg,Recurrence Relation (6 of 6: Proving an inequality)
https://www.youtube.com/watch?v=hf2bcPrxrCY,Recurrence Relation (5 of 6: Trigonometric substitution)
